alert_id,machine_id,equipment_category,alert_level,alert_priority,health_score,problem,probable_cause,recommended_action,observed_pattern,alert_status,source_model,generated_at
ALT-0001,CNV-010,Conveyor,Critical,Immediate,54.37,Critical conveyor condition,"Severe abnormal pattern may indicate belt jam, roller failure, or unsafe drive motor stress","Stop conveyor and inspect belt, rollers, drive motor, and blockage immediately","anomaly detected, very low conveyor drive load, very high conveyor speed variation",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0002,TRB-002,Turbine,Critical,Immediate,55.84,Critical turbine condition,"Severe abnormal pattern may indicate unsafe speed instability, thermal stress, or blade damage",Stop or isolate turbine if safety risk exists and perform urgent inspection,"anomaly detected, very low torque, high tool wear, very high rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0003,CMP-002,Compressor,Critical,Immediate,57.07,Critical compressor condition,"Severe abnormal pattern may indicate major pressure instability, overheating, or lubrication failure",Stop or isolate compressor if required and perform urgent technical inspection,"anomaly detected, very low torque, high tool wear, very high rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0004,GRB-004,Gearbox,Critical,Immediate,57.38,Critical gearbox condition,"Severe abnormal pattern may indicate gear damage, lubrication failure, or unsafe torque transmission",Stop gearbox operation if necessary and perform urgent inspection,"anomaly detected, very low mechanical load, very high shaft speed, high operating temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0005,CMP-003,Compressor,Critical,Immediate,57.47,Critical compressor condition,"Severe abnormal pattern may indicate major pressure instability, overheating, or lubrication failure",Stop or isolate compressor if required and perform urgent technical inspection,"anomaly detected, very high torque, low rotational speed, very high air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0006,FAN-007,Fan,High Risk,Urgent,57.9,Critical fan operating condition,"Severe abnormal pattern may indicate bearing failure, blade damage, or unsafe vibration condition","Stop fan if vibration is high and urgently inspect bearing, shaft alignment, and blade condition","anomaly detected, very high rotational airflow speed, very low airflow load demand, very high air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0007,HEX-009,Heat Exchanger,High Risk,Urgent,58.22,Critical heat exchanger condition,Severe abnormal pattern may indicate major blockage or thermal performance failure,Stop or bypass if required and perform urgent cleaning and flow inspection,"anomaly detected, very high air temperature, high process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0008,HEX-002,Heat Exchanger,High Risk,Urgent,59.74,High heat exchanger efficiency loss,"Low health score may indicate fouling, blocked flow, or abnormal temperature difference",Schedule cleaning and inspect inlet/outlet flow condition soon,"anomaly detected, low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0009,MOT-019,Motor,High Risk,Urgent,60.35,High motor stress condition,"Low health score may indicate overload, insulation stress, or abnormal torque demand",Reduce motor load if possible and schedule maintenance soon,"anomaly detected, very low torque, very high rotational speed, very high air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0010,FAN-005,Fan,High Risk,Urgent,60.72,Severe fan airflow imbalance or bearing stress,"Low health score may indicate high mechanical stress, bearing wear, or unstable rotation",Reduce fan operation load if possible and schedule maintenance soon,"anomaly detected, very high rotational airflow speed, very low airflow load demand",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0011,CMP-004,Compressor,High Risk,Urgent,61.17,High compressor stress condition,"Low health score may indicate overheating, overpressure, or lubrication problem",Schedule maintenance soon and check whether the compressor can continue operation safely,"anomaly detected, very low torque, very high rotational speed, very high air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0012,HYD-001,Hydraulic System,Medium Risk,Inspect,55.59,Critical hydraulic system condition,"Severe abnormal pattern may indicate major leakage, pump failure, or unsafe pressure condition","Stop hydraulic operation if unsafe and urgently inspect hoses, seals, pressure, and pump","anomaly detected, very low hydraulic load response, high process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0013,FAN-012,Fan,Medium Risk,Inspect,57.33,Critical fan operating condition,"Severe abnormal pattern may indicate bearing failure, blade damage, or unsafe vibration condition","Stop fan if vibration is high and urgently inspect bearing, shaft alignment, and blade condition","anomaly detected, very high rotational airflow speed, very low airflow load demand, very low air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0014,CHL-009,Chiller,Medium Risk,Inspect,57.52,Critical chiller condition,"Severe abnormal pattern may indicate major cooling failure, compressor stress, or thermal control problem",Reduce cooling load or isolate chiller if required and perform urgent inspection,"anomaly detected, very high cooling-side temperature, very high process cooling temperature, very low compressor load demand",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0015,AGT-001,Agitator,Medium Risk,Inspect,58.15,Critical agitator condition,"Severe abnormal pattern may indicate shaft damage, blade jam, or unsafe drive stress","Stop agitator if unsafe and urgently inspect shaft, blades, coupling, and motor","anomaly detected, very low mixing load demand, very high shaft speed variation",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0016,FAN-010,Fan,Medium Risk,Inspect,58.33,Critical fan operating condition,"Severe abnormal pattern may indicate bearing failure, blade damage, or unsafe vibration condition","Stop fan if vibration is high and urgently inspect bearing, shaft alignment, and blade condition","anomaly detected, very low rotational airflow speed, very high airflow load demand, very low air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0017,HEX-003,Heat Exchanger,Medium Risk,Inspect,58.57,Critical heat exchanger condition,Severe abnormal pattern may indicate major blockage or thermal performance failure,Stop or bypass if required and perform urgent cleaning and flow inspection,"anomaly detected, very high air temperature, very high process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
